vehicle_number,leave_time,train,route_number,direction,service_key,stop_time,arrive_time,dwell,location_id,door,lift,ons,offs,estimated_load,maximum_speed,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status
2267,54022,8001,7,1,S,,54022,0,773,0,0,0,0,8,,10.938,11.1505,29.922267,-122.567285,45.66252333333333,2,2
2267,52208,8001,7,1,S,51840,52208,0,867,0,0,0,0,4,,0,0,171.804811,-122.526945,45.77550333333333,2,5
2267,52529,8001,7,1,S,,52500,29,510,1,0,1,0,5,,1.5721,1.6497,13.965582,-122.55142833333333,45.780771666666666,2,2
2267,53343,8001,7,1,S,52980,53321,22,146,1,0,1,0,6,,7.541,7.7149,31.697189,-122.55293,45.705515,2,4
2267,53388,8001,7,1,S,,53388,0,148,0,0,0,0,6,,8.0039,8.1338,110.97901,-122.55286,45.699236666666664,2,2
2267,52286,8001,7,1,S,,52286,0,1002,0,0,0,0,4,,0.5319,0.5437,149.334992,-122.53732,45.77529666666667,2,2
2267,52327,8001,7,1,S,,52327,0,1003,0,0,0,0,4,,0.8469,0.8575,228.276967,-122.537315,45.779853333333335,2,2
2267,52370,8001,7,1,S,,52370,0,161,0,0,0,0,4,,1.0855,1.1023,62.832273,-122.54031666666667,45.78089,2,2
2267,52687,8001,7,1,S,52380,52670,17,165,1,0,1,0,6,,1.9555,2.0468,30.019649,-122.55837833333334,45.77979833333333,2,4
2267,53995,8001,7,1,S,,53995,0,357,0,0,0,0,8,,10.7,10.8989,70.214416,-122.56251166666667,45.66453833333333,2,2
2267,54037,8001,7,1,S,,54037,0,353,0,0,0,0,8,,11.0498,11.2617,27.97137,-122.56898333333334,45.661678333333334,2,2
2267,52233,8001,7,1,S,,52233,0,1001,0,0,0,0,4,,0.174,0.174,151.804009,-122.53035666666666,45.7754,2,2
2267,53521,8001,7,1,S,,53521,0,150,0,0,0,0,7,,8.7278,8.903,228.846657,-122.55272666666667,45.689008333333334,2,2
2267,53675,8001,7,1,S,,53660,15,817,1,0,2,0,9,,9.3846,9.5772,3.824282,-122.55267166666667,45.678615,2,2
2267,53932,8001,7,1,S,,53932,0,839,0,0,0,0,8,,10.3924,10.5826,66.222506,-122.55703666666666,45.66625833333333,2,2
2267,52819,8001,7,1,S,,52819,0,1010,0,0,0,0,6,,2.954,2.9888,244.425061,-122.550815,45.769783333333336,2,2
2267,54185,8001,7,1,S,54000,54185,0,1095,1,0,0,6,0,,11.9707,12.2354,207.22645,-122.584835,45.656061666666666,2,6
2267,56025,8001,80,1,S,,56025,0,184,0,0,0,0,4,,2.8869,2.9204,74.724864,-122.558055,45.654325,2,2
2267,57038,8001,80,1,S,,57038,0,1077,0,0,0,0,5,,7.1377,7.2216,30.759962,-122.532595,45.612825,2,2
2267,57416,8001,80,1,S,,57416,0,886,0,0,0,0,6,,8.8303,8.9459,32.16998,-122.50916666666667,45.60123,2,2
2267,56419,8001,80,1,S,,56372,47,619,1,0,0,2,5,,4.2576,4.3359,51.142951,-122.54475666666667,45.642851666666665,2,2
2267,56978,8001,80,1,S,56580,56956,22,1031,1,0,0,2,5,,6.7437,6.8593,4.777736,-122.53277833333334,45.61815,2,4
2267,57258,8001,80,1,S,,57258,0,484,0,0,0,0,7,,8.2152,8.2885,249.726633,-122.51575333333334,45.60552166666667,2,2
2267,57485,8001,80,1,S,,57444,41,887,1,0,0,1,5,,8.9707,9.1317,13.606568,-122.50607333333333,45.60017666666667,2,2
2267,57573,8001,80,1,S,57180,57573,0,492,1,0,0,5,0,,9.3927,9.5387,246.116177,-122.50564333333334,45.59475166666667,2,6
2267,55617,8001,80,1,S,,55617,0,354,0,0,0,0,6,,1.2446,1.2452,106.229687,-122.56541833333333,45.66323833333333,2,2
2267,55842,8001,80,1,S,55560,55842,0,1202,0,0,0,0,4,,2.1847,2.227,133.245093,-122.564115,45.658035,2,4
2267,56002,8001,80,1,S,,55953,49,183,1,0,1,1,4,,2.662,2.7278,45.402525,-122.55809666666667,45.65678666666667,2,2
2267,56075,8001,80,1,S,,56075,0,187,0,0,0,0,4,,3.1124,3.1497,51.541428,-122.55830333333333,45.65070333333333,2,2
2267,56104,8001,80,1,S,,56104,0,188,0,0,0,0,4,,3.3946,3.4107,117.655368,-122.55820833333334,45.646723333333334,2,2
2267,56335,8001,80,1,S,,56268,67,618,1,0,1,0,7,,3.9929,4.0663,53.38747,-122.55035333333333,45.64275166666667,2,2
2267,56708,8001,80,1,S,,56708,0,895,0,0,0,0,7,,5.5234,5.5756,146.439568,-122.53080333333334,45.63460833333333,2,2
2267,56738,8001,80,1,S,,56738,0,979,0,0,0,0,7,,5.7955,5.8446,226.313064,-122.53470833333333,45.631863333333335,2,2
2267,55692,8001,80,1,S,,55683,9,768,1,0,0,1,4,,1.4745,1.5199,8.453079,-122.561225,45.66455833333333,2,2
2267,56215,8001,80,1,S,55920,56162,53,616,1,1,1,0,6,,3.7059,3.7773,18.003785,-122.55644666666667,45.642725,2,4
2267,56647,8001,80,1,S,,56647,0,897,0,0,0,0,7,,5.2742,5.3401,75.380567,-122.53074,45.63820666666667,2,2
2267,56781,8001,80,1,S,,56781,0,894,0,0,0,0,7,,6.0957,6.1429,259.485335,-122.53471166666667,45.627428333333334,2,2
2267,56798,8001,80,1,S,,56798,0,893,0,0,0,0,7,,6.2746,6.3343,111.188166,-122.53469833333334,45.625096666666664,2,2
2267,57312,8001,80,1,S,,57289,23,487,1,0,1,0,8,,8.3351,8.468,9.380045,-122.51301666666667,45.60517333333333,2,2
2267,55653,8001,80,1,S,,55637,16,356,1,0,0,1,5,,1.3434,1.3707,64.005042,-122.563325,45.66406833333333,2,2
2267,55813,8001,80,1,S,,55813,0,1201,0,0,0,0,4,,1.976,2.0126,110.786834,-122.55980666666666,45.6587,2,2
2267,55927,8001,80,1,S,,55927,0,181,0,0,0,0,4,,2.5992,2.6272,39.030875,-122.55807666666666,45.65847333333333,2,2
2267,56039,8001,80,1,S,,56039,0,186,0,0,0,0,4,,3.031,3.0584,31.022856,-122.558055,45.652033333333335,2,2
2267,57223,8001,80,1,S,,57223,0,1079,0,0,0,0,7,,7.933,8.007,256.294493,-122.52093833333333,45.60729833333333,2,2
2267,55223,8001,80,1,S,55200,55223,0,1095,1,0,4,0,4,,0,0,277.314928,-122.58508666666667,45.65598333333333,2,5
2267,56484,8001,80,1,S,,56484,0,621,0,0,0,0,5,,4.8716,4.8933,255.358528,-122.53249333333333,45.642921666666666,2,2
2267,56618,8001,80,1,S,,56522,96,899,1,0,2,0,7,,5.0083,5.1102,11.006649,-122.53078,45.64172666666666,2,2
2267,56850,8001,80,1,S,,56813,37,891,1,0,1,0,8,,6.3473,6.4635,32.623768,-122.53472166666667,45.623578333333334,2,2
2267,56892,8001,80,1,S,,56881,11,889,1,0,0,1,7,,6.5145,6.6251,8.043297,-122.53425833333333,45.6212,2,2
2267,57140,8001,80,1,S,,57084,56,1078,1,0,2,0,7,,7.3483,7.4726,20.851337,-122.53194,45.609605,2,2
2267,57377,8001,80,1,S,,57360,17,883,1,0,0,2,6,,8.5948,8.7427,6.81975,-122.50838,45.604155,2,2
2267,55429,8001,80,1,S,,55409,20,111,1,0,1,0,5,,0.5269,0.5474,42.947435,-122.576815,45.65811,2,2
2267,55598,8001,80,1,S,,55557,41,352,1,0,1,0,6,,1.0824,1.1129,44.716116,-122.567885,45.662056666666665,2,2
2267,55897,8001,80,1,S,,55897,0,1207,0,0,0,0,4,,2.442,2.4613,16.125823,-122.56035,45.658496666666665,2,2
2267,56450,8001,80,1,S,,56450,0,620,0,0,0,0,5,,4.5515,4.5907,100.019984,-122.53934166666667,45.64289,2,2
2267,58188,8001,80,0,S,,58188,0,888,0,0,0,0,5,,0.5425,0.5418,130.642629,-122.50591666666666,45.599885,2,2
